insight_id,episode_id,episode_text,ged_value,ig_value,confidence,insight_type,cross_domain_count,domain_diversity,current_domain,current_research_area,vector_reconstruction,detection_timestamp
DETAILED_INS_0103_2031,103,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",0.7472319304943085,0.10300000000000001,0.4251159652471542,Significant_Insight,10,1,natural language processing,Reinforcement Learning,"Episode_103: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:02.031377
DETAILED_INS_0104_2075,104,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",0.750832736492157,0.10400000000000001,0.4274163682460785,Significant_Insight,10,2,computer vision,Graph Neural Networks,"Episode_104: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:02.075841
DETAILED_INS_0105_2119,105,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",0.6535001993179321,0.105,0.37925009965896606,Significant_Insight,10,1,robotics,Federated Learning,"Episode_105: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:02.119607
DETAILED_INS_0106_2164,106,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",0.6540517210960388,0.106,0.3800258605480194,Significant_Insight,1,2,cybersecurity,Explainable AI,"Episode_106: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:02.164415
DETAILED_INS_0107_2208,107,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",0.8807835876941681,0.107,0.49389179384708404,Significant_Insight,10,2,climate modeling,Multimodal Learning,"Episode_107: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:02.208750
DETAILED_INS_0108_2253,108,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",0.6858410239219666,0.108,0.39692051196098327,Significant_Insight,10,2,drug discovery,Few-shot Learning,"Episode_108: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:02.253830
DETAILED_INS_0109_2297,109,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",0.647900253534317,0.109,0.3784501267671585,Significant_Insight,10,2,financial prediction,Transfer Learning,"Episode_109: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:02.297635
DETAILED_INS_0110_2342,110,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",0.6267958283424377,0.11,0.36839791417121887,Significant_Insight,10,2,educational technology,Adversarial Machine Learning,"Episode_110: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:02.342165
DETAILED_INS_0111_2388,111,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.7565554976463318,0.111,0.4337777488231659,Significant_Insight,9,2,medical diagnosis,Large Language Models,"Episode_111: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:02.388212
DETAILED_INS_0112_2431,112,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",0.8714620172977448,0.112,0.49173100864887237,Significant_Insight,10,2,autonomous systems,Computer Vision,"Episode_112: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:02.431984
DETAILED_INS_0113_2476,113,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",0.7472319304943085,0.113,0.43011596524715423,Significant_Insight,10,2,natural language processing,Reinforcement Learning,"Episode_113: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:02.476430
DETAILED_INS_0114_2520,114,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",0.750832736492157,0.114,0.4324163682460785,Significant_Insight,10,2,computer vision,Graph Neural Networks,"Episode_114: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:02.520116
DETAILED_INS_0115_2563,115,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",0.6535001993179321,0.115,0.38425009965896606,Significant_Insight,10,2,robotics,Federated Learning,"Episode_115: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:02.563720
DETAILED_INS_0116_2608,116,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",0.6540517210960388,0.116,0.3850258605480194,Significant_Insight,2,2,cybersecurity,Explainable AI,"Episode_116: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:02.608332
DETAILED_INS_0117_2652,117,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",0.8807835876941681,0.117,0.49889179384708404,Significant_Insight,10,2,climate modeling,Multimodal Learning,"Episode_117: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:02.652912
DETAILED_INS_0118_2699,118,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",0.6858410239219666,0.11800000000000001,0.4019205119609833,Significant_Insight,10,2,drug discovery,Few-shot Learning,"Episode_118: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:02.699083
DETAILED_INS_0119_2742,119,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",0.647900253534317,0.11900000000000001,0.3834501267671585,Significant_Insight,10,2,financial prediction,Transfer Learning,"Episode_119: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:02.742991
DETAILED_INS_0120_2787,120,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",0.6267958283424377,0.12,0.37339791417121887,Significant_Insight,10,2,educational technology,Adversarial Machine Learning,"Episode_120: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:02.787542
DETAILED_INS_0121_2833,121,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.7565554976463318,0.121,0.4387777488231659,Significant_Insight,8,2,medical diagnosis,Large Language Models,"Episode_121: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:02.833251
DETAILED_INS_0122_2876,122,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",0.8714620172977448,0.122,0.4967310086488724,Significant_Insight,10,2,autonomous systems,Computer Vision,"Episode_122: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:02.876385
DETAILED_INS_0123_2920,123,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",0.7472319304943085,0.123,0.43511596524715423,Significant_Insight,10,2,natural language processing,Reinforcement Learning,"Episode_123: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:02.920453
DETAILED_INS_0124_2965,124,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",0.750832736492157,0.124,0.4374163682460785,Significant_Insight,10,2,computer vision,Graph Neural Networks,"Episode_124: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:02.965762
DETAILED_INS_0125_3012,125,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",0.6535001993179321,0.125,0.38925009965896606,Significant_Insight,10,2,robotics,Federated Learning,"Episode_125: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:03.012534
DETAILED_INS_0126_3058,126,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",0.6540517210960388,0.126,0.3900258605480194,Significant_Insight,3,2,cybersecurity,Explainable AI,"Episode_126: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:03.059024
DETAILED_INS_0127_3104,127,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",0.8807835876941681,0.127,0.503891793847084,Significant_Insight,10,2,climate modeling,Multimodal Learning,"Episode_127: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:03.104103
DETAILED_INS_0128_3149,128,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",0.6858410239219666,0.128,0.4069205119609833,Significant_Insight,10,2,drug discovery,Few-shot Learning,"Episode_128: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:03.149100
DETAILED_INS_0129_3193,129,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",0.647900253534317,0.129,0.3884501267671585,Significant_Insight,10,2,financial prediction,Transfer Learning,"Episode_129: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:03.193510
DETAILED_INS_0130_3238,130,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",0.6267958283424377,0.13,0.3783979141712189,Significant_Insight,10,2,educational technology,Adversarial Machine Learning,"Episode_130: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:03.238921
DETAILED_INS_0131_3285,131,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.7565554976463318,0.131,0.4437777488231659,Significant_Insight,7,2,medical diagnosis,Large Language Models,"Episode_131: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:03.285188
DETAILED_INS_0132_3329,132,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",0.8714620172977448,0.132,0.5017310086488724,Significant_Insight,10,2,autonomous systems,Computer Vision,"Episode_132: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:03.329686
DETAILED_INS_0133_3373,133,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",0.7472319304943085,0.133,0.44011596524715424,Significant_Insight,10,2,natural language processing,Reinforcement Learning,"Episode_133: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:03.373663
DETAILED_INS_0134_3417,134,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",0.750832736492157,0.134,0.4424163682460785,Significant_Insight,10,2,computer vision,Graph Neural Networks,"Episode_134: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:03.417797
DETAILED_INS_0135_3462,135,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",0.6535001993179321,0.135,0.39425009965896607,Significant_Insight,10,2,robotics,Federated Learning,"Episode_135: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:03.462247
DETAILED_INS_0136_3506,136,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",0.6540517210960388,0.136,0.3950258605480194,Significant_Insight,4,2,cybersecurity,Explainable AI,"Episode_136: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:03.506570
DETAILED_INS_0137_3551,137,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",0.8807835876941681,0.137,0.508891793847084,Significant_Insight,10,2,climate modeling,Multimodal Learning,"Episode_137: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:03.551614
DETAILED_INS_0138_3597,138,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",0.6858410239219666,0.138,0.4119205119609833,Significant_Insight,10,2,drug discovery,Few-shot Learning,"Episode_138: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:03.597729
DETAILED_INS_0139_3642,139,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",0.647900253534317,0.139,0.3934501267671585,Significant_Insight,10,2,financial prediction,Transfer Learning,"Episode_139: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:03.642187
DETAILED_INS_0140_3687,140,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",0.6267958283424377,0.14,0.3833979141712189,Significant_Insight,10,2,educational technology,Adversarial Machine Learning,"Episode_140: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:03.687488
DETAILED_INS_0141_3733,141,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.7565554976463318,0.14100000000000001,0.4487777488231659,Significant_Insight,6,2,medical diagnosis,Large Language Models,"Episode_141: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:03.733645
DETAILED_INS_0142_3777,142,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",0.8714620172977448,0.14200000000000002,0.5067310086488723,Significant_Insight,10,2,autonomous systems,Computer Vision,"Episode_142: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:03.777135
DETAILED_INS_0143_3820,143,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",0.7472319304943085,0.14300000000000002,0.44511596524715424,Significant_Insight,10,2,natural language processing,Reinforcement Learning,"Episode_143: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:03.820749
DETAILED_INS_0144_3865,144,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",0.750832736492157,0.14400000000000002,0.4474163682460785,Significant_Insight,10,2,computer vision,Graph Neural Networks,"Episode_144: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:03.865750
DETAILED_INS_0145_3910,145,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",0.6535001993179321,0.145,0.3992500996589661,Significant_Insight,10,2,robotics,Federated Learning,"Episode_145: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:03.910229
DETAILED_INS_0146_3956,146,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",0.6540517210960388,0.146,0.4000258605480194,Significant_Insight,5,2,cybersecurity,Explainable AI,"Episode_146: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:03.956559
DETAILED_INS_0147_4001,147,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",0.8807835876941681,0.147,0.513891793847084,Significant_Insight,10,2,climate modeling,Multimodal Learning,"Episode_147: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:04.001544
DETAILED_INS_0148_4046,148,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",0.6858410239219666,0.148,0.4169205119609833,Significant_Insight,10,2,drug discovery,Few-shot Learning,"Episode_148: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:04.046841
DETAILED_INS_0149_4091,149,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",0.647900253534317,0.149,0.3984501267671585,Significant_Insight,10,2,financial prediction,Transfer Learning,"Episode_149: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:04.091649
DETAILED_INS_0150_4136,150,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",0.6267958283424377,0.15,0.3883979141712189,Significant_Insight,10,2,educational technology,Adversarial Machine Learning,"Episode_150: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:04.136981
DETAILED_INS_0151_4183,151,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.7565554976463318,0.151,0.4537777488231659,Significant_Insight,5,2,medical diagnosis,Large Language Models,"Episode_151: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:04.183738
DETAILED_INS_0152_4227,152,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",0.8714620172977448,0.152,0.5117310086488723,Significant_Insight,10,2,autonomous systems,Computer Vision,"Episode_152: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:04.227767
DETAILED_INS_0153_4271,153,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",0.7472319304943085,0.153,0.45011596524715425,Significant_Insight,10,2,natural language processing,Reinforcement Learning,"Episode_153: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:04.271720
DETAILED_INS_0154_4314,154,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",0.750832736492157,0.154,0.4524163682460785,Significant_Insight,10,2,computer vision,Graph Neural Networks,"Episode_154: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:04.315034
DETAILED_INS_0155_4358,155,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",0.6535001993179321,0.155,0.4042500996589661,Significant_Insight,10,2,robotics,Federated Learning,"Episode_155: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:04.358307
DETAILED_INS_0156_4402,156,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",0.6540517210960388,0.156,0.4050258605480194,Significant_Insight,6,2,cybersecurity,Explainable AI,"Episode_156: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:04.402779
DETAILED_INS_0157_4447,157,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",0.8807835876941681,0.157,0.5188917938470841,Significant_Insight,10,2,climate modeling,Multimodal Learning,"Episode_157: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:04.447286
DETAILED_INS_0158_4493,158,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",0.6858410239219666,0.158,0.4219205119609833,Significant_Insight,10,2,drug discovery,Few-shot Learning,"Episode_158: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:04.493554
DETAILED_INS_0159_4537,159,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",0.647900253534317,0.159,0.4034501267671585,Significant_Insight,10,2,financial prediction,Transfer Learning,"Episode_159: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:04.537185
DETAILED_INS_0160_4582,160,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",0.6267958283424377,0.16,0.3933979141712189,Significant_Insight,10,2,educational technology,Adversarial Machine Learning,"Episode_160: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:04.582455
DETAILED_INS_0161_4627,161,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.7565554976463318,0.161,0.4587777488231659,Significant_Insight,4,2,medical diagnosis,Large Language Models,"Episode_161: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:04.627940
DETAILED_INS_0162_4672,162,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",0.8714620172977448,0.162,0.5167310086488723,Significant_Insight,10,2,autonomous systems,Computer Vision,"Episode_162: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:04.672885
DETAILED_INS_0163_4717,163,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",0.7472319304943085,0.163,0.45511596524715425,Significant_Insight,10,2,natural language processing,Reinforcement Learning,"Episode_163: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:04.717882
DETAILED_INS_0164_4763,164,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",0.750832736492157,0.164,0.4574163682460785,Significant_Insight,10,2,computer vision,Graph Neural Networks,"Episode_164: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:04.763154
DETAILED_INS_0165_4808,165,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",0.6535001993179321,0.165,0.4092500996589661,Significant_Insight,10,2,robotics,Federated Learning,"Episode_165: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:04.808754
DETAILED_INS_0166_4855,166,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",0.6540517210960388,0.166,0.4100258605480194,Significant_Insight,7,2,cybersecurity,Explainable AI,"Episode_166: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:04.855707
DETAILED_INS_0167_4902,167,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",0.8807835876941681,0.167,0.5238917938470841,Significant_Insight,10,2,climate modeling,Multimodal Learning,"Episode_167: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:04.902130
DETAILED_INS_0168_4949,168,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",0.6858410239219666,0.168,0.4269205119609833,Significant_Insight,10,2,drug discovery,Few-shot Learning,"Episode_168: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:04.949932
DETAILED_INS_0169_4994,169,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",0.647900253534317,0.169,0.40845012676715853,Significant_Insight,10,2,financial prediction,Transfer Learning,"Episode_169: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:04.994296
DETAILED_INS_0170_5038,170,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",0.6267958283424377,0.17,0.3983979141712189,Significant_Insight,10,2,educational technology,Adversarial Machine Learning,"Episode_170: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:05.038391
DETAILED_INS_0171_5083,171,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",0.7565554976463318,0.171,0.4637777488231659,Significant_Insight,3,2,medical diagnosis,Large Language Models,"Episode_171: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:05.083572
DETAILED_INS_0172_5126,172,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",0.8714620172977448,0.17200000000000001,0.5217310086488723,Significant_Insight,10,2,autonomous systems,Computer Vision,"Episode_172: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:05.126746
DETAILED_INS_0173_5171,173,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",0.7472319304943085,0.17300000000000001,0.46011596524715426,Significant_Insight,10,2,natural language processing,Reinforcement Learning,"Episode_173: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:05.171111
