Directory,File,Class Name,Description,Parent Classes
insightspike.core,exceptions.py,LLMConnectionError,Raised when connection to LLM service fails.,LLMError
insightspike.core,exceptions.py,LLMError,Base exception for LLM operations.,InsightSpikeException
insightspike.core,exceptions.py,LLMGenerationError,Raised when LLM text generation fails.,LLMError
insightspike.core,exceptions.py,LLMTokenLimitError,Raised when token limit is exceeded.,LLMError
insightspike.core,exceptions.py,MemoryCapacityError,Raised when memory capacity is exceeded.,MemoryError
insightspike.core,exceptions.py,MemoryError,Base exception for memory operations.,InsightSpikeException
insightspike.core,exceptions.py,MemorySearchError,Raised when memory search fails.,MemoryError
insightspike.core,enhanced_episode.py,MemoryStatistics,Track memory usage statistics for monitoring,object
insightspike.core,error_handler.py,ModelNotFoundError,モデルが見つからない,InsightSpikeError
insightspike.core,error_handler.py,ProcessingError,処理中のエラー,InsightSpikeError
insightspike.core.base,generic_interfaces.py,ActionSpace,Generic action space definition,object
insightspike.core.base,async_datastore.py,AsyncDataStore,Extended DataStore interface with async operations for scalability,DataStore
insightspike.core.base,datastore.py,DataStore,Abstract interface for data persistence,ABC
insightspike.core.base,generic_interfaces.py,EnvironmentInterface,Generic environment interface for any domain,ABC
insightspike.core.base,generic_interfaces.py,EnvironmentState,Generic state representation for any environment,object
insightspike.core.base,generic_interfaces.py,GenericAgentInterface,Generic agent interface that can work with any environment,ABC
insightspike.core.base,generic_interfaces.py,InsightDetectorInterface,Generic interface for insight detection across domains,ABC
insightspike.core.base,generic_interfaces.py,InsightMoment,Generic insight moment representation,object
insightspike.core.base,layer4_interface.py,L4Interface,Abstract interface for Layer 4 components.,ABC
insightspike.core.base,layer4_interface.py,L4_1Interface,Abstract interface for Layer 4.1 (Optional LLM Polish) components.,ABC
insightspike.core.base,maze_implementation.py,MazeEnvironmentAdapter,Adapter for existing maze environments to generic interface,EnvironmentInterface
insightspike.core.base,maze_implementation.py,MazeInsightDetector,Insight detector for maze navigation,InsightDetectorInterface
insightspike.core.base,maze_implementation.py,MazeRewardNormalizer,Reward normalizer for maze environments,RewardNormalizer
insightspike.core.base,maze_implementation.py,MazeStateEncoder,State encoder for maze environments,StateEncoder
insightspike.core.base,generic_interfaces.py,MemoryManagerInterface,Generic memory manager interface,ABC
insightspike.core.base,generic_interfaces.py,ReasonerInterface,Generic reasoner interface for insight analysis,ABC
insightspike.core.base,generic_interfaces.py,RewardNormalizer,Abstract reward normalizer for different environments,ABC
insightspike.core.base,generic_interfaces.py,StateEncoder,Abstract state encoder for different state representations,ABC
insightspike.core.base,generic_interfaces.py,TaskType,Supported task types for insight detection,Enum
insightspike.core.base,datastore.py,VectorIndex,Abstract interface for vector indexing,ABC
insightspike.detection,eureka_spike.py,EurekaDetector,Detects insight spikes based on ΔGED and ΔIG patterns.,object
insightspike.detection,insight_registry.py,GraphOptimizationResult,Results of graph optimization analysis,object
insightspike.detection,insight_registry.py,InsightFact,Represents a discovered insight fact,object
insightspike.detection,insight_registry.py,InsightFactRegistry,"Manages registration, evaluation, and utilization of discovered insights.",object
insightspike.features.graph_reasoning,graph_analyzer.py,GraphAnalyzer,Analyzes graph structures and calculates metrics.,object
insightspike.features.graph_reasoning,reward_calculator.py,RewardCalculator,Calculates reward signals for memory updates.,object
insightspike.features.query_transformation,enhanced_query_transformer.py,AdaptiveExplorer,Adaptive exploration strategy for query transformation,object
insightspike.features.query_transformation,enhanced_query_transformer.py,EnhancedQueryTransformer,Enhanced query transformer with advanced features,QueryTransformer
insightspike.features.query_transformation,evolution_tracker.py,EvolutionPattern,Represents a successful query evolution pattern,object
insightspike.features.query_transformation,evolution_tracker.py,EvolutionTracker,Track and learn from query evolution patterns,object
insightspike.features.query_transformation,enhanced_query_transformer.py,MultiHopGNN,GNN with multi-hop message passing and attention,Module
insightspike.features.query_transformation,evolution_tracker.py,PatternDatabase,SQLite database for storing evolution patterns,object
insightspike.features.query_transformation,enhanced_query_transformer.py,QueryBranch,Represents a branch in query exploration,object
insightspike.features.query_transformation,query_transformer.py,QueryGraphGNN,GNN that includes query as a special node,Module
insightspike.features.query_transformation,query_state.py,QueryState,Represents the state of a query at a point in time,object
insightspike.features.query_transformation,query_state.py,QueryTransformationHistory,Tracks the complete transformation journey of a query,object
insightspike.features.query_transformation,query_transformer.py,QueryTransformer,Transforms queries through graph exploration,object
insightspike.features.query_transformation,evolution_tracker.py,QueryTypeClassifier,Classify queries into types for pattern matching,object
insightspike.features.query_transformation,evolution_tracker.py,TrajectoryAnalyzer,Analyze query evolution trajectories for insights,object
insightspike.implementations.agents,configurable_agent.py,AgentConfig,Unified configuration for all agent features,object
insightspike.implementations.agents,agent_factory.py,AgentConfigBuilder,Builder pattern for agent configuration,object
insightspike.implementations.agents,configurable_agent.py,AgentMode,Different operation modes for the agent,Enum
insightspike.implementations.agents,configurable_agent.py,ConfigurableAgent,Configurable Q&A Agent with multiple operation modes.,object
insightspike.implementations.agents,main_agent.py,CycleResult,Result from one reasoning cycle,object
insightspike.implementations.agents,datastore_main_agent.py,DataStoreMainAgent,MainAgent implementation that uses DataStore exclusively for memory management.,AgentInterface
insightspike.implementations.agents,datastore_agent.py,DataStoreMainAgent,DataStore-centric implementation of the InsightSpike main agent.,object
insightspike.implementations.agents,generic_agent.py,GenericInsightSpikeAgent,Generic InsightSpike agent that works with any environment,GenericAgentInterface
insightspike.implementations.agents,generic_agent.py,GenericMemoryManager,Generic memory manager implementation,MemoryManagerInterface
insightspike.implementations.agents,generic_agent.py,GenericReasoner,Generic reasoner for insight analysis,ReasonerInterface
insightspike.implementations.agents,agent_factory.py,InsightSpikeAgentFactory,Factory for creating InsightSpike agents for different domains,object
insightspike.implementations.agents,main_agent.py,MainAgent,Main orchestrating agent that coordinates all layers.,object
insightspike.implementations.agents,main_agent_refactored.py,MainAgentRefactored,Refactored MainAgent that uses DataStore properly.,AgentInterface
insightspike.implementations.agents,datastore_main_agent.py,QueryCache,Simple cache for recent queries,object
insightspike.implementations.agents,configurable_agent.py,QueryCache,Simple LRU cache for query results,object
insightspike.implementations.agents,configurable_agent.py,UnifiedCycleResult,Unified result structure that supports all agent variants,object
insightspike.implementations.datastore,factory.py,DataStoreFactory,Factory for creating DataStore instances,object
insightspike.implementations.datastore,filesystem_store.py,FAISSVectorIndex,FAISS-based vector index implementation,VectorIndex
insightspike.implementations.datastore,sqlite_store.py,FAISSVectorIndex,FAISS-based vector index implementation,VectorIndex
insightspike.implementations.datastore,filesystem_store.py,FileSystemDataStore,File system based data store implementation,DataStore
insightspike.implementations.datastore,memory_store.py,InMemoryDataStore,In-memory data store implementation,DataStore
insightspike.implementations.datastore,adapters.py,L2MemoryAdapter,Adapter to make L2MemoryManager use DataStore,object
insightspike.implementations.datastore,adapters.py,L3GraphAdapter,Adapter to make L3GraphReasoner use DataStore,object
insightspike.implementations.datastore,sqlite_store.py,SQLiteDataStore,SQLite implementation of AsyncDataStore,AsyncDataStore
insightspike.implementations.datastore,sqlite_store_graph.py,SQLiteDataStoreGraphMixin,Mixin for graph operations in SQLiteDataStore,object
insightspike.implementations.layers,layer1_stream_processor.py,BoundaryDetector,Detects episode boundaries in text stream,object
insightspike.implementations.layers,cached_memory_manager.py,CachedMemoryManager,Memory manager with DataStore backend and LRU cache.,object
insightspike.implementations.layers,layer2_compatibility.py,CompatibleL2MemoryManager,Backward-compatible Layer 2 Memory Manager.,L2MemoryManager
insightspike.implementations.layers,layer2_memory_manager.py,CompatibleL2MemoryManager,Wrapper to maintain backward compatibility with old interface,L2MemoryManager
insightspike.implementations.layers,layer3_graph_reasoner.py,ConflictScore,Conflict detection and scoring for graph reasoning.,object
insightspike.implementations.layers,layer1_error_monitor.py,ErrorMonitor,Layer 1 implementation for error monitoring and uncertainty calculation.,L1ErrorMonitorInterface
insightspike.implementations.layers,layer1_error_monitor.py,KnownUnknownAnalysis,Analysis result separating known and unknown information components,object
insightspike.implementations.layers,layer1_stream_processor.py,L1Episode,Episode generated by Layer1 stream processor,object
insightspike.implementations.layers,layer1_stream_processor.py,L1IntegratedMemory,Helper class to integrate L1 with existing L2MemoryManager,object
insightspike.implementations.layers,layer2_memory_manager.py,L2MemoryManager,Memory manager with episodic storage and graph-based organization.,object
insightspike.implementations.layers,layer2_working_memory.py,L2WorkingMemoryManager,Working memory based memory manager using DataStore.,object
insightspike.implementations.layers,layer3_graph_reasoner.py,L3GraphReasoner,Enhanced graph reasoning layer with GNN processing and spike detection.,L3GraphReasonerInterface
insightspike.implementations.layers,layer4_llm_interface.py,L4LLMInterface,Layer 4 Language Interface - Natural language synthesis.,object
insightspike.implementations.layers,layer4_prompt_builder.py,L4PromptBuilder,Layer 4: Semantic Response Generation,L4Interface
insightspike.implementations.layers,layer4_llm_interface.py,LLMConfig,Unified configuration for LLM providers,object
insightspike.implementations.layers,layer4_llm_interface.py,LLMProviderRegistry,Registry for caching and reusing LLM provider instances.,object
insightspike.implementations.layers,layer4_llm_interface.py,LLMProviderType,Available LLM provider types,Enum
insightspike.implementations.layers,layer1_stream_processor.py,Layer1Config,Configuration for Layer1 stream processor,object
insightspike.implementations.layers,layer1_stream_processor.py,Layer1StreamProcessor,Stream processor for converting raw input into episodes.,object
insightspike.implementations.layers,layer2_memory_manager.py,MemoryConfig,Configuration for memory manager,object
insightspike.implementations.layers,scalable_graph_builder.py,MockFaiss,,object
insightspike.implementations.layers,scalable_graph_builder.py,ScalableGraphBuilder,Build graphs efficiently using FAISS for nearest neighbor search.,object
insightspike.implementations.layers,layer2_working_memory.py,WorkingMemoryConfig,Configuration for working memory manager,object
insightspike.implementations.memory,knowledge_graph_memory.py,Data,Fallback Data class for basic graph functionality without torch-geometric.,object
insightspike.implementations.memory,graph_memory_search.py,GraphMemorySearch,Enhanced memory search using graph traversal.,object
insightspike.implementations.memory,knowledge_graph_memory.py,KnowledgeGraphMemory,Persistent knowledge graph storing episode embeddings.,object
insightspike.implementations.memory,scalable_graph_manager.py,ScalableGraphManager,Scalable graph management with FAISS-based similarity search.,object
insightspike.providers,anthropic_provider.py,AnthropicProvider,Anthropic Claude provider implementation,object
insightspike.providers,distilgpt2_provider.py,DistilGPT2Provider,Simulated DistilGPT2 provider for experiments.,object
insightspike.providers,local.py,LocalProvider,Provider for local language models using Hugging Face transformers.,object
insightspike.providers,mock_provider.py,MockProvider,Mock LLM provider for testing,object
insightspike.providers,openai_provider.py,OpenAIProvider,OpenAI LLM provider implementation,object
insightspike.providers,provider_factory.py,ProviderFactory,Factory for creating LLM providers,object
insightspike.providers,simple_local.py,SimpleLocalProvider,Simple local provider using DistilGPT2,object
